序号,统计级别,数据起始时间,数据结束时间,国家,省份,城市,区县,新增确诊人数,新增疑似人数,新增治愈人数,新增死亡人数,累计确诊人数,累计疑似人数,累计治愈人数,累计死亡人数,核减人数,累计核减人数,数据源,数据发布时间,数据源文本,数据源链接,数据间接发布时间,数据间接发布来源,数据间接发布来源链接,数据收集时间,数据收集方式,数据收集人员/程序姓名,数据是否核查,数据首次核查时间,数据首次核查方式,数据首次核查人员/程序姓名,数据首次核查状态,更正人员,更正时间,数据再次核查时间,数据再次核查方式,数据再次核查人员/程序姓名,数据再次核查状态,备注
21,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,大同市,云冈区,,,,,3,,,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
22,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,晋城市,,,,,,8,,2,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
23,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,晋城市,城区,,,,,3,,,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
24,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,晋城市,沁水县,,,,,3,,,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
25,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,晋城市,阳城县,,,,,3,,,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
26,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,晋城市,陵川县,,,,,3,,,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
27,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,晋城市,泽州县,,,,,3,,,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
28,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,长治市,,,,,,7,,,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
29,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,长治市,潞州区,,,,,3,,,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
30,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,长治市,长子县,,,,,3,,,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
31,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,忻州市,,1,,,,7,,,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
32,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,忻州市,五台县,1,,,,3,,,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
33,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,忻州市,忻府区,,,,,3,,,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
34,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,吕梁市,,,,,,6,,3,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
35,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,吕梁市,孝义市,,,,,3,,,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
36,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,吕梁市,离石区,,,,,3,,,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
37,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,吕梁市,文水县,,,,,3,,,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
38,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,朔州市,,1,,,,7,,1,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
39,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,朔州市,应县,,,,,3,,,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
40,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,朔州市,朔城区,1,,,,3,,,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
41,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,朔州市,怀仁市,,,,,3,,,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
42,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,阳泉市,,,,,,4,,,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
43,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,阳泉市,城区,,,,,3,,,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
44,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,阳泉市,盂县,,,,,3,,,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
45,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,临汾市,,,,,,2,,1,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
46,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,临汾市,乡宁县,,,,,3,,,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
47,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,临汾市,吉县,,,,,3,,,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
48,省级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,,,10,18,4,,115,63,25,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
